,Acción,Evento,Tiempo,Inicio,Fin,Jugadores,Resultado,Control,FieldXfrom,FieldYfrom,FieldXto,FieldYto,GoalX,GoalY,FieldX,FieldY,Sanción,Jornada,Local,Visitante
0,Tiro Ferro,Tiro Ferro 001,625,625,629,9,Bloqueado,+ 2,0.8018867924528301,0.7851851851851852,0.8679245283018868,0.6888888888888889,,,,,,16,Ferro,Boca Jrs
1,Tiro Ferro,Tiro Ferro 002,691,691,694,7,Bloqueado,2,0.75,0.32592592592592606,0.8584905660377358,0.3925925925925926,,,,,,16,Ferro,Boca Jrs
2,Tiro Ferro,Tiro Ferro 003,707,707,710,7,Bloqueado,1,0.7783018867924528,0.27407407407407414,0.8962264150943396,0.41481481481481486,,,,,,16,Ferro,Boca Jrs
3,Tiro Ferro,Tiro Ferro 004,713,713,715,5,Atajado,2,0.660377358490566,0.7925925925925926,0.9150943396226414,0.562962962962963,,,,,,16,Ferro,Boca Jrs
4,Tiro Ferro,Tiro Ferro 005,774,774,778,7,Desviado,2,0.12264150943396226,0.5703703703703704,0.9858490566037736,0.5333333333333334,,,,,,16,Ferro,Boca Jrs
5,Tiro Ferro,Tiro Ferro 006,1220,1220,1223,8,Desviado,1,0.6981132075471698,0.45925925925925926,0.9716981132075472,0.3925925925925926,,,,,,16,Ferro,Boca Jrs
6,Tiro Ferro,Tiro Ferro 007,1299,1299,1302,9,Atajado,1,0.8632075471698113,0.1703703703703704,0.9245283018867925,0.40000000000000013,,,,,,16,Ferro,Boca Jrs
7,Tiro Ferro,Tiro Ferro 008,1587,1587,1589,7,Atajado,+ 2,0.6698113207547169,0.31851851851851853,0.9056603773584905,0.5259259259259259,,,,,,16,Ferro,Boca Jrs
8,Tiro Ferro,Tiro Ferro 009,1976,1976,1978,14,Desviado,1,0.7971698113207547,0.23703703703703716,0.9716981132075472,0.6962962962962963,,,,,,16,Ferro,Boca Jrs
9,Tiro Ferro,Tiro Ferro 010,2242,2242,2245,10,Atajado,+ 2,0.7547169811320754,0.5333333333333334,0.9292452830188678,0.5111111111111112,,,,,,16,Ferro,Boca Jrs
10,Tiro Ferro,Tiro Ferro 011,2375,2375,2378,5,Desviado,2,0.7452830188679245,0.8296296296296296,0.990566037735849,0.4370370370370371,,,,,,16,Ferro,Boca Jrs
11,Tiro Ferro,Tiro Ferro 012,2515,2515,2518,10,Atajado,,0.7641509433962264,0.4740740740740741,0.9481132075471698,0.5259259259259259,,,,,,16,Ferro,Boca Jrs
12,Tiro Ferro,Tiro Ferro 013,2518,2518,2520,5,Desviado,1,0.7877358490566038,0.7481481481481482,0.9622641509433961,0.6000000000000001,,,,,,16,Ferro,Boca Jrs
13,Tiro Ferro,Tiro Ferro 014,2789,2789,2791,14,Bloqueado,1,0.6273584905660377,0.7925925925925926,0.8773584905660377,0.6370370370370371,,,,,,16,Ferro,Boca Jrs
14,Tiro Ferro,Tiro Ferro 015,3595,3595,3597,7,Bloqueado,,0.7311320754716981,0.2148148148148149,0.8537735849056604,0.3555555555555556,,,,,,16,Ferro,Boca Jrs
15,Tiro Ferro,Tiro Ferro 016,3694,3694,3697,5,Desviado,,0.6084905660377359,0.1777777777777778,0.9716981132075472,0.40000000000000013,,,,,,16,Ferro,Boca Jrs
16,Tiro Ferro,Tiro Ferro 017,3900,3900,3902,7,Bloqueado,,0.7783018867924528,0.8444444444444444,0.8443396226415093,0.762962962962963,,,,,,16,Ferro,Boca Jrs
17,Tiro Ferro,Tiro Ferro 018,4365,4365,4367,10,Bloqueado,1,0.7688679245283018,0.3851851851851852,0.9198113207547169,0.4740740740740741,,,,,,16,Ferro,Boca Jrs
18,Tiro Ferro,Tiro Ferro 019,4372,4372,4377,14,Atajado,,0.6556603773584905,0.2666666666666667,0.910377358490566,0.41481481481481486,,,,,,16,Ferro,Boca Jrs
19,Tiro Ferro,Tiro Ferro 020,4427,4427,4429,10,Bloqueado,2,0.7547169811320754,0.6518518518518519,0.8443396226415093,0.6000000000000001,,,,,,16,Ferro,Boca Jrs
20,Tiro Ferro,Tiro Ferro 021,4507,4507,4509,10,Atajado,+ 2,0.7830188679245282,0.13333333333333353,0.9198113207547169,0.45185185185185195,,,,,,16,Ferro,Boca Jrs
21,Tiro Ferro,Tiro Ferro 022,4531,4531,4533,4,Atajado,+ 2,0.7547169811320754,0.6444444444444445,0.9056603773584905,0.5259259259259259,,,,,,16,Ferro,Boca Jrs
22,Tiro Ferro,Tiro Ferro 023,4595,4595,4598,7,Atajado,+ 2,0.8018867924528301,0.22222222222222232,0.9245283018867925,0.45925925925925926,,,,,,16,Ferro,Boca Jrs
23,Tiro Ferro,Tiro Ferro 024,4607,4607,4612,7,Desviado,+ 2,0.8726415094339621,0.14074074074074083,0.9811320754716981,0.41481481481481486,,,,,,16,Ferro,Boca Jrs
24,Tiro Ferro,Tiro Ferro 025,4654,4654,4657,16,Desviado,2,0.7311320754716981,0.3407407407407408,0.9858490566037736,0.3925925925925926,,,,,,16,Ferro,Boca Jrs
25,Tiro Ferro,Tiro Ferro 026,4735,4735,4737,9,Atajado,1,0.8443396226415093,0.20000000000000007,0.9481132075471698,0.5037037037037038,,,,,,16,Ferro,Boca Jrs
26,Tiro Ferro,Tiro Ferro 027,4938,4938,4942,5,Atajado,1,0.6886792452830188,0.6814814814814816,0.9150943396226414,0.5037037037037038,,,,,,16,Ferro,Boca Jrs
27,Tiro Ferro,Tiro Ferro 028,4983,4983,4986,10,Bloqueado,2,0.8160377358490565,0.7925925925925926,0.8726415094339621,0.6592592592592592,,,,,,16,Ferro,Boca Jrs
28,Tiro Ferro,Tiro Ferro 029,5006,5006,5008,5,Bloqueado,2,0.6273584905660377,0.7777777777777778,0.7075471698113208,0.7111111111111111,,,,,,16,Ferro,Boca Jrs
29,Tiro Ferro,Tiro Ferro 030,5068,5068,5070,5,Atajado,1,0.8537735849056604,0.8296296296296296,0.9292452830188678,0.5111111111111112,,,,,,16,Ferro,Boca Jrs
30,Tiro Ferro,Tiro Ferro 031,5094,5094,5097,5,Atajado,2,0.7216981132075472,0.44444444444444453,0.9198113207547169,0.4666666666666668,,,,,,16,Ferro,Boca Jrs
31,Tiro Ferro,Tiro Ferro 032,5179,5179,5180,5,Bloqueado,1,0.7924528301886792,0.7851851851851852,0.8867924528301886,0.6814814814814816,,,,,,16,Ferro,Boca Jrs
32,Tiro Ferro,Tiro Ferro 033,5180,5180,5182,10,Desviado,,0.7264150943396226,0.6592592592592592,0.9716981132075472,0.3407407407407408,,,,,,16,Ferro,Boca Jrs
33,Tiro Ferro,Tiro Ferro 034,5319,5319,5321,9,Atajado,,0.7122641509433961,0.5037037037037038,0.9292452830188678,0.4666666666666668,,,,,,16,Ferro,Boca Jrs
