,Acción,Evento,Tiempo,Inicio,Fin,Jugadores,Evento ,Resultado,Acercar,Alejar,Situacion,Duración,Jornada,Local,Visitante,Tipo_de_Accion
0,MT Ofensivo,MT OFENSIVO 001,339,329,347,1,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
1,MT Ofensivo,MT OFENSIVO 001,339,329,347,4,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
2,MT Ofensivo,MT OFENSIVO 001,339,329,347,6,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
3,MT Ofensivo,MT OFENSIVO 001,339,329,347,8,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
4,MT Ofensivo,MT OFENSIVO 001,339,329,347,9,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
5,MT Ofensivo,MT OFENSIVO 002,391,381,398,1,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
6,MT Ofensivo,MT OFENSIVO 002,391,381,398,4,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
7,MT Ofensivo,MT OFENSIVO 002,391,381,398,6,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
8,MT Ofensivo,MT OFENSIVO 002,391,381,398,8,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
9,MT Ofensivo,MT OFENSIVO 002,391,381,398,9,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
10,MT Ofensivo,MT OFENSIVO 003,497,487,510,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
11,MT Ofensivo,MT OFENSIVO 003,497,487,510,4,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
12,MT Ofensivo,MT OFENSIVO 003,497,487,510,6,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
13,MT Ofensivo,MT OFENSIVO 003,497,487,510,8,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
14,MT Ofensivo,MT OFENSIVO 003,497,487,510,9,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
15,MT Ofensivo,MT OFENSIVO 004,520,510,538,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
16,MT Ofensivo,MT OFENSIVO 004,520,510,538,4,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
17,MT Ofensivo,MT OFENSIVO 004,520,510,538,6,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
18,MT Ofensivo,MT OFENSIVO 004,520,510,538,8,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
19,MT Ofensivo,MT OFENSIVO 004,520,510,538,9,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
20,MT Ofensivo,MT OFENSIVO 005,619,609,623,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
21,MT Ofensivo,MT OFENSIVO 005,619,609,623,5,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
22,MT Ofensivo,MT OFENSIVO 005,619,609,623,8,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
23,MT Ofensivo,MT OFENSIVO 005,619,609,623,10,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
24,MT Ofensivo,MT OFENSIVO 005,619,609,623,14,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
25,MT Ofensivo,MT OFENSIVO 006,636,626,645,1,Puerta Atras,Negativo,,,,,16,Ferro,Boca Jrs,
26,MT Ofensivo,MT OFENSIVO 006,636,626,645,5,Puerta Atras,Negativo,,,,,16,Ferro,Boca Jrs,
27,MT Ofensivo,MT OFENSIVO 006,636,626,645,8,Puerta Atras,Negativo,,,,,16,Ferro,Boca Jrs,
28,MT Ofensivo,MT OFENSIVO 006,636,626,645,10,Puerta Atras,Negativo,,,,,16,Ferro,Boca Jrs,
29,MT Ofensivo,MT OFENSIVO 006,636,626,645,14,Puerta Atras,Negativo,,,,,16,Ferro,Boca Jrs,
30,MT Ofensivo,MT OFENSIVO 007,1145,1135,1153,1,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
31,MT Ofensivo,MT OFENSIVO 007,1145,1135,1153,14,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
32,MT Ofensivo,MT OFENSIVO 007,1145,1135,1153,15,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
33,MT Ofensivo,MT OFENSIVO 007,1145,1135,1153,17,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
34,MT Ofensivo,MT OFENSIVO 007,1145,1135,1153,19,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
35,MT Ofensivo,MT OFENSIVO 008,1177,1167,1188,1,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
36,MT Ofensivo,MT OFENSIVO 008,1177,1167,1188,14,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
37,MT Ofensivo,MT OFENSIVO 008,1177,1167,1188,15,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
38,MT Ofensivo,MT OFENSIVO 008,1177,1167,1188,17,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
39,MT Ofensivo,MT OFENSIVO 008,1177,1167,1188,19,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
40,MT Ofensivo,MT OFENSIVO 009,1298,1288,1302,1,Paralela,Positivo,,,,,16,Ferro,Boca Jrs,
41,MT Ofensivo,MT OFENSIVO 009,1298,1288,1302,4,Paralela,Positivo,,,,,16,Ferro,Boca Jrs,
42,MT Ofensivo,MT OFENSIVO 009,1298,1288,1302,6,Paralela,Positivo,,,,,16,Ferro,Boca Jrs,
43,MT Ofensivo,MT OFENSIVO 009,1298,1288,1302,8,Paralela,Positivo,,,,,16,Ferro,Boca Jrs,
44,MT Ofensivo,MT OFENSIVO 009,1298,1288,1302,9,Paralela,Positivo,,,,,16,Ferro,Boca Jrs,
45,MT Ofensivo,MT OFENSIVO 010,1363,1353,1379,1,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
46,MT Ofensivo,MT OFENSIVO 010,1363,1353,1379,4,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
47,MT Ofensivo,MT OFENSIVO 010,1363,1353,1379,6,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
48,MT Ofensivo,MT OFENSIVO 010,1363,1353,1379,8,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
49,MT Ofensivo,MT OFENSIVO 010,1363,1353,1379,9,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
50,MT Ofensivo,MT OFENSIVO 011,1398,1388,1406,1,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
51,MT Ofensivo,MT OFENSIVO 011,1398,1388,1406,4,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
52,MT Ofensivo,MT OFENSIVO 011,1398,1388,1406,6,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
53,MT Ofensivo,MT OFENSIVO 011,1398,1388,1406,8,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
