,Jugadores,Tiempo,Inicio,Fin,Jornada,Local,Visitante
0,1,335,325,4972,16,Ferro,Boca Jrs
1,1,5137,5127,5164,16,Ferro,Boca Jrs
2,1,5299,5289,5335,16,Ferro,Boca Jrs
3,4,335,325,608,16,Ferro,Boca Jrs
4,4,1422,1412,1531,16,Ferro,Boca Jrs
5,4,3265,3255,3461,16,Ferro,Boca Jrs
6,4,3945,3935,4171,16,Ferro,Boca Jrs
7,4,4494,4484,4699,16,Ferro,Boca Jrs
8,5,608,598,938,16,Ferro,Boca Jrs
9,5,1511,1501,1846,16,Ferro,Boca Jrs
10,5,2156,2146,2553,16,Ferro,Boca Jrs
11,5,2891,2881,3261,16,Ferro,Boca Jrs
12,5,3461,3451,3991,16,Ferro,Boca Jrs
13,5,4171,4161,4480,16,Ferro,Boca Jrs
14,5,4699,4689,5642,16,Ferro,Boca Jrs
15,6,335,325,577,16,Ferro,Boca Jrs
16,6,945,935,1034,16,Ferro,Boca Jrs
17,6,1222,1212,1688,16,Ferro,Boca Jrs
18,6,2599,2589,2605,16,Ferro,Boca Jrs
19,6,3476,3466,3841,16,Ferro,Boca Jrs
20,6,4182,4172,4480,16,Ferro,Boca Jrs
21,7,666,656,911,16,Ferro,Boca Jrs
22,7,1533,1523,1699,16,Ferro,Boca Jrs
23,7,1690,1680,1771,16,Ferro,Boca Jrs
24,7,1775,1765,1803,16,Ferro,Boca Jrs
25,7,2084,2074,2352,16,Ferro,Boca Jrs
26,7,2426,2416,2553,16,Ferro,Boca Jrs
27,7,2685,2675,3257,16,Ferro,Boca Jrs
28,7,3261,3251,3462,16,Ferro,Boca Jrs
29,7,3841,3831,4158,16,Ferro,Boca Jrs
30,7,4484,4474,4616,16,Ferro,Boca Jrs
31,7,4641,4631,4941,16,Ferro,Boca Jrs
32,7,4982,4972,5631,16,Ferro,Boca Jrs
33,8,335,325,666,16,Ferro,Boca Jrs
34,8,941,931,1143,16,Ferro,Boca Jrs
35,8,1222,1212,1511,16,Ferro,Boca Jrs
36,8,1771,1761,1777,16,Ferro,Boca Jrs
37,8,1846,1836,2084,16,Ferro,Boca Jrs
38,8,2352,2342,2427,16,Ferro,Boca Jrs
39,8,2605,2595,2685,16,Ferro,Boca Jrs
40,8,3257,3247,3277,16,Ferro,Boca Jrs
41,9,335,325,615,16,Ferro,Boca Jrs
42,9,1222,1212,1532,16,Ferro,Boca Jrs
