,Evento,Inicio,Fin,Parte,Duracion,Jornada,Local,Visitante
0,Partido en juego 001,0.0,7.0,1,7.0,10,Ferro,Glorias
1,Partido en juego 002,0.0,38.0,1,38.0,10,Ferro,Glorias
2,Partido en juego 003,40.0,69.0,1,29.0,10,Ferro,Glorias
3,Partido en juego 004,89.0,124.0,1,35.0,10,Ferro,Glorias
4,Partido en juego 005,126.0,146.0,1,20.0,10,Ferro,Glorias
5,Partido en juego 006,150.0,168.0,1,18.0,10,Ferro,Glorias
6,Partido en juego 007,175.0,200.0,1,25.0,10,Ferro,Glorias
7,Partido en juego 008,197.0,221.0,1,24.0,10,Ferro,Glorias
8,Partido en juego 009,244.0,258.0,1,14.0,10,Ferro,Glorias
9,Partido en juego 010,253.0,268.0,1,15.0,10,Ferro,Glorias
10,Partido en juego 011,271.0,325.0,1,54.0,10,Ferro,Glorias
11,Partido en juego 012,330.0,346.0,1,16.0,10,Ferro,Glorias
12,Partido en juego 013,354.0,366.0,1,12.0,10,Ferro,Glorias
13,Partido en juego 014,362.0,379.0,1,17.0,10,Ferro,Glorias
14,Partido en juego 015,375.0,430.0,1,55.0,10,Ferro,Glorias
15,Partido en juego 016,431.0,449.0,1,18.0,10,Ferro,Glorias
16,Partido en juego 017,525.0,564.0,1,39.0,10,Ferro,Glorias
17,Partido en juego 018,581.0,598.0,1,17.0,10,Ferro,Glorias
18,Partido en juego 019,624.0,665.0,1,41.0,10,Ferro,Glorias
19,Partido en juego 020,667.0,719.0,1,52.0,10,Ferro,Glorias
20,Partido en juego 021,743.0,771.0,1,28.0,10,Ferro,Glorias
21,Partido en juego 022,777.0,810.0,1,33.0,10,Ferro,Glorias
22, ,837.0,854.0,1,17.0,10,Ferro,Glorias
23,Partido en juego 024,851.0,879.0,1,28.0,10,Ferro,Glorias
24,Partido en juego 025,921.0,941.0,1,20.0,10,Ferro,Glorias
25,Partido en juego 026,944.0,974.0,1,30.0,10,Ferro,Glorias
26,Partido en juego 027,974.0,986.0,1,12.0,10,Ferro,Glorias
27,Partido en juego 028,986.0,1011.0,1,25.0,10,Ferro,Glorias
28,Partido en juego 029,1018.0,1049.0,1,31.0,10,Ferro,Glorias
29,Partido en juego 030,1053.0,1072.0,1,19.0,10,Ferro,Glorias
30,Partido en juego 031,1076.0,1099.0,1,23.0,10,Ferro,Glorias
31,Partido en juego 032,1099.0,1139.0,1,40.0,10,Ferro,Glorias
32,Partido en juego 033,1135.0,1190.0,1,55.0,10,Ferro,Glorias
33,Partido en juego 034,1206.0,1241.0,1,35.0,10,Ferro,Glorias
34,Partido en juego 035,1249.0,1264.0,1,15.0,10,Ferro,Glorias
35,Partido en juego 036,1262.0,1274.0,1,12.0,10,Ferro,Glorias
36,Partido en juego 037,1280.0,1323.0,1,43.0,10,Ferro,Glorias
37,Partido en juego 038,1339.0,1358.0,1,19.0,10,Ferro,Glorias
38,Partido en juego 039,1350.0,1369.0,1,19.0,10,Ferro,Glorias
39,Partido en juego 040,1369.0,1397.0,1,28.0,10,Ferro,Glorias
40,Partido en juego 041,1457.0,1476.0,1,19.0,10,Ferro,Glorias
41,Partido en juego 042,1469.0,1525.0,1,56.0,10,Ferro,Glorias
42,Partido en juego 043,1551.0,1577.0,1,26.0,10,Ferro,Glorias
43,Partido en juego 044,1666.0,1681.0,1,15.0,10,Ferro,Glorias
44,Partido en juego 045,1691.0,1711.0,1,20.0,10,Ferro,Glorias
45,Partido en juego 046,1709.0,1733.0,1,24.0,10,Ferro,Glorias
46,Partido en juego 047,1737.0,1750.0,1,13.0,10,Ferro,Glorias
47,Partido en juego 048,1754.0,1769.0,1,15.0,10,Ferro,Glorias
48,Partido en juego 049,1770.0,1787.0,1,17.0,10,Ferro,Glorias
49,Partido en juego 050,1782.0,1797.0,1,15.0,10,Ferro,Glorias
50,Partido en juego 051,1804.0,1822.0,1,18.0,10,Ferro,Glorias
51,Partido en juego 052,1824.0,1840.0,1,16.0,10,Ferro,Glorias
52,Partido en juego 053,1842.0,1874.0,1,32.0,10,Ferro,Glorias
53,Partido en juego 054,1879.0,1891.0,1,12.0,10,Ferro,Glorias
54,Partido en juego 055,1885.0,1899.0,1,14.0,10,Ferro,Glorias
55,Partido en juego 056,1936.0,1950.0,1,14.0,10,Ferro,Glorias
56,Partido en juego 057,1943.0,1963.0,1,20.0,10,Ferro,Glorias
57,Partido en juego 058,1970.0,2004.0,1,34.0,10,Ferro,Glorias
58,Partido en juego 059,2022.0,2038.0,1,16.0,10,Ferro,Glorias
59,Partido en juego 060,2055.0,2073.0,1,18.0,10,Ferro,Glorias
60,Partido en juego 061,2129.0,2140.0,1,11.0,10,Ferro,Glorias
61,Partido en juego 062,2155.0,2170.0,1,15.0,10,Ferro,Glorias
